dates,Washington,New York,California,Massachusetts,Georgia,Colorado,Florida,New Jersey,Oregon,Texas,Illinois,Pennsylvania,Iowa,Maryland,North Carolina,South Carolina,Tennessee,Virginia,Arizona,Indiana,Kentucky,District of Columbia,Nevada,New Hampshire,Minnesota,Nebraska,Ohio,Rhode Island,Wisconsin,Connecticut,Hawaii,Oklahoma,Utah,Kansas,Louisiana,Missouri,Vermont,Alaska,Arkansas,Delaware,Idaho,Maine,Michigan,Mississippi,Montana,New Mexico,North Dakota,South Dakota,West Virginia,Wyoming,US
3/16/20,904,967,557,197,121,160,155,178,39,85,105,77,23,41,38,33,52,49,18,25,21,22,45,17,54,18,50,21,47,30,7,10,39,11,136,6,12,1,22,8,5,17,53,13,7,17,1,10,0,3,4594
3/17/20,1076,1706,698,218,146,160,216,267,66,110,161,112,23,60,64,47,74,67,20,30,26,22,56,26,60,21,67,23,72,68,10,19,51,18,196,11,12,3,22,16,8,32,65,21,9,23,3,11,1,11,6372
3/18/20,1014,2495,751,218,199,184,314,267,68,173,162,152,29,85,70,47,79,77,27,39,27,31,55,26,77,24,86,33,92,68,14,19,51,18,257,18,18,6,33,19,9,42,83,34,11,23,6,11,1,15,7725
3/19/20,1376,5365,952,328,287,277,417,742,88,260,422,206,44,107,123,81,154,99,45,60,37,40,95,44,89,29,119,44,159,159,16,44,80,34,392,31,22,9,62,30,11,52,334,50,11,35,18,11,2,18,13579
3/20/20,1524,8310,1177,413,420,363,563,890,114,394,585,303,45,149,172,126,233,122,78,86,47,71,114,44,115,37,173,54,207,194,26,49,78,44,538,53,29,12,96,38,23,56,552,80,15,43,19,14,7,19,18986
3/21/20,1793,11710,1364,525,507,390,659,1327,114,581,753,396,68,193,253,171,371,156,118,128,87,77,161,55,138,38,248,66,282,194,37,53,136,57,585,74,29,15,122,45,36,70,788,140,21,43,28,14,8,23,25319
3/22/20,1996,15793,1642,646,600,476,830,1914,161,627,1049,509,90,244,302,196,505,221,152,201,99,102,190,65,169,51,355,83,381,223,48,67,181,64,837,100,52,21,165,47,42,89,1037,207,31,57,28,21,12,24,33081
3/23/20,2221,20884,2108,777,772,704,1227,2844,191,758,1285,698,105,290,353,298,614,254,235,270,123,100,245,101,234,51,443,106,425,415,56,81,257,84,1172,187,75,30,192,68,68,107,1329,249,34,83,30,28,16,26,43203
3/24/20,2328,25681,2538,1159,1026,723,1412,3675,210,955,1537,946,124,349,495,342,772,293,326,368,162,100,278,101,261,66,567,124,481,618,90,106,298,100,1388,257,95,34,219,104,81,118,1793,320,51,100,36,30,22,29,53188
3/25/20,2591,30841,2998,1838,1247,1021,1682,4402,266,1229,1865,1260,146,425,590,424,916,396,401,477,197,100,323,108,286,71,704,132,621,875,91,164,340,134,1795,354,125,41,280,119,91,142,2296,377,65,113,45,41,39,44,65028
3/26/20,3207,37877,3899,2417,1525,1430,2357,6876,316,1563,2538,1795,179,583,738,424,1097,466,508,645,247,231,420,137,344,74,868,165,728,1012,95,248,396,172,2304,520,158,56,335,130,146,155,2845,485,90,113,51,46,52,53,83116
3/27/20,3477,44876,4657,3240,2000,1433,2900,8825,416,1937,3024,2345,235,775,887,542,1318,607,665,979,301,271,536,158,396,82,1137,203,926,1291,106,322,472,206,2744,666,184,58,381,163,205,168,3634,579,109,136,68,58,76,70,100844
